Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,85.7593260847,8.13928755747,0.0,0.0,3.49369000822,6.81298672936,15.2194638575,13.4482138575,1.75125,0.02
 01/01  02:00:00,86.1517248746,8.13928755747,0.0,0.0,3.49369000822,6.81298672936,16.661263594,14.890013594,1.75125,0.02
 01/01  03:00:00,86.6622916927,8.13928755747,0.0,0.0,3.49369000822,6.81298672936,18.8684929899,15.952894329,1.75125,1.16434866084
 01/01  04:00:00,91.0938731658,12.2915793806,0.0,0.0,3.49369000822,6.81298672936,29.134646298,27.363396298,1.75125,0.02
 01/01  05:00:00,98.3190737695,12.6221715582,0.0,0.0,3.49369000822,6.81298672936,28.6250093244,26.8537593244,1.75125,0.02
 01/01  06:00:00,93.9013981527,8.46987973509,0.0,0.0,3.49369000822,6.81298672936,22.9502470494,20.0347273876,1.75125,1.1642696618
 01/01  07:00:00,125.293345139,27.7795111579,0.0,0.0,6.98738001645,14.1499734587,462.983252999,459.460752999,3.5025,0.02
 01/01  08:00:00,132.060699109,27.7795111579,0.0,0.0,6.98738001645,14.1499734587,417.119328377,413.596828377,3.5025,0.02
 01/01  09:00:00,157.044786597,27.7795111579,0.0,0.0,6.98738001645,14.1499734587,368.173929164,363.506960298,3.5025,1.16446886651
 01/01  10:00:00,130.630023706,27.7795111579,0.0,0.0,6.98738001645,14.1499734587,361.421639909,357.899139909,3.5025,0.02
 01/01  11:00:00,164.952829772,27.7795111579,0.0,0.0,27.9495200658,27.7759469175,336.637068404,328.467346093,7.005,1.16472231144
 01/01  12:00:00,195.942644774,27.7795111579,0.0,0.0,27.9495200658,27.7759469175,326.9547047,318.784947216,7.005,1.16475748319
 01/01  13:00:00,203.553686619,27.7795111579,0.0,0.0,41.9242800987,36.8599292233,305.230612854,294.725668883,9.34,1.1649439711
 01/01  14:00:00,201.384802811,27.7795111579,0.0,0.0,41.9242800987,36.8599292233,296.396410658,285.891544803,9.34,1.16486585561
 01/01  15:00:00,197.455118623,27.7795111579,0.0,0.0,41.9242800987,36.8599292233,286.758904334,276.253979185,9.34,1.1649251486
 01/01  16:00:00,193.627560286,27.7795111579,0.0,0.0,41.9242800987,36.8599292233,295.588194315,285.083345618,9.34,1.16484869783
 01/01  17:00:00,206.037456084,27.7795111579,0.0,0.0,41.9242800987,36.8599292233,312.986723048,303.626723048,9.34,0.02
 01/01  18:00:00,175.813367618,27.7795111579,0.0,0.0,27.9495200658,27.7759469175,370.694780198,362.524808388,7.005,1.16497180982
 01/01  19:00:00,181.420284053,27.7795111579,0.0,0.0,13.9747600329,18.6919646116,381.421834325,375.58719077,4.67,1.16464355528
 01/01  20:00:00,161.440215481,27.7795111579,0.0,0.0,13.9747600329,18.6919646116,383.940278659,378.105516821,4.67,1.16476183829
 01/01  21:00:00,153.024195632,27.7795111579,0.0,0.0,13.9747600329,18.6919646116,373.324155827,368.634155827,4.67,0.02
 01/01  22:00:00,139.170799754,27.7795111579,0.0,0.0,13.9747600329,18.6919646116,329.538519278,323.704020554,4.67,1.164498724
 01/01  23:00:00,79.7977193,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,115.508604542,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91554096438,0.0,1.75125,1.16429096438
 01/02  01:00:00,93.7344845546,8.13928755747,0.0,0.0,3.49369000822,9.08398230582,21.7618397616,19.4068397616,2.335,0.02
 01/02  02:00:00,90.3615048875,12.2089313362,0.0,0.0,3.49369000822,9.08398230582,36.6354646329,34.2804646329,2.335,0.02
 01/02  03:00:00,90.5222500719,12.4293261213,0.0,0.0,3.49369000822,9.08398230582,33.6927001674,30.1933972235,2.335,1.1643029439
 01/02  04:00:00,86.7175331427,8.52497843136,0.0,0.0,3.49369000822,9.08398230582,23.8956327568,21.5406327568,2.335,0.02
 01/02  05:00:00,98.2028189264,13.1356034475,0.0,0.0,3.49369000822,9.08398230582,38.7499126708,36.3949126708,2.335,0.02
 01/02  06:00:00,99.4808315515,15.0883396422,0.0,0.0,3.49369000822,9.08398230582,39.6794950272,36.1802243552,2.335,1.16427067195
 01/02  07:00:00,137.337745983,27.7795111579,0.0,0.0,13.9747600329,18.6919646116,450.093795667,445.403795667,4.67,0.02
 01/02  08:00:00,142.997152519,27.7795111579,0.0,0.0,13.9747600329,18.6919646116,406.872630778,402.182630778,4.67,0.02
 01/02  09:00:00,208.869662111,27.7795111579,0.0,0.0,34.9369000822,32.3179380704,370.209795415,360.872670323,8.1725,1.16462509196
 01/02  10:00:00,233.123269856,27.7795111579,0.0,0.0,62.886420148,41.4019203762,331.621071069,319.94865023,10.5075,1.16492083904
 01/02  11:00:00,223.374395275,27.7795111579,0.0,0.0,62.886420148,41.4019203762,312.910790712,301.23822315,10.5075,1.1650675618
 01/02  12:00:00,253.949171023,27.7795111579,0.0,0.0,62.886420148,41.4019203762,297.329923967,285.657126036,10.5075,1.16529793056
 01/02  13:00:00,233.689325728,27.7795111579,0.0,0.0,62.886420148,41.4019203762,292.685671076,279.867299204,10.5075,2.31087187141
 01/02  14:00:00,230.678300502,27.7795111579,0.0,0.0,62.886420148,41.4019203762,283.024615431,271.3516266,10.5075,1.16548883147
 01/02  15:00:00,226.773827755,27.7795111579,0.0,0.0,62.886420148,41.4019203762,290.329015574,278.656294138,10.5075,1.16522143594
 01/02  16:00:00,223.315749541,27.7795111579,0.0,0.0,62.886420148,41.4019203762,301.457218369,289.784467,10.5075,1.16525136832
 01/02  17:00:00,233.454619733,27.7795111579,0.0,0.0,62.886420148,41.4019203762,325.952690298,314.280084488,10.5075,1.16510580994
 01/02  18:00:00,236.761076402,27.7795111579,0.0,0.0,62.886420148,41.4019203762,347.358134497,334.540316795,10.5075,2.31031770184
 01/02  19:00:00,236.057976651,27.7795111579,0.0,0.0,41.9242800987,36.8599292233,362.314419772,351.809399895,9.34,1.16501987617
 01/02  20:00:00,219.765029608,27.7795111579,0.0,0.0,41.9242800987,36.8599292233,362.317843408,352.957843408,9.34,0.02
 01/02  21:00:00,194.996663891,27.7795111579,0.0,0.0,34.9369000822,32.3179380704,357.044061929,347.706630822,8.1725,1.16493110716
 01/02  22:00:00,138.036754259,27.7795111579,0.0,0.0,13.9747600329,18.6919646116,324.865900506,319.031184526,4.67,1.16471598034
 01/02  23:00:00,79.3050527331,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  24:00:00,115.123040541,0.0,0.0,0.0,3.49369000822,9.08398230582,3.4993338776,0.0,2.335,1.1643338776
 01/03  01:00:00,95.9822915788,12.2089313362,0.0,0.0,3.49369000822,9.08398230582,31.604197293,29.249197293,2.335,0.02
 01/03  02:00:00,90.1736577298,12.4844248176,0.0,0.0,3.49369000822,9.08398230582,37.3033252887,34.9483252887,2.335,0.02
 01/03  03:00:00,88.3414936453,10.6903825351,0.0,0.0,3.49369000822,9.08398230582,32.7678836707,29.2685826348,2.335,1.16430103582
 01/03  04:00:00,93.8851568697,16.4113878118,0.0,0.0,3.49369000822,9.08398230582,51.9445602863,49.5895602863,2.335,0.02
 01/03  05:00:00,116.82643388,16.7755880808,0.0,0.0,3.49369000822,9.08398230582,51.0901943619,48.7351943619,2.335,0.02
 01/03  06:00:00,113.756634422,13.6969211399,0.0,0.0,3.49369000822,9.08398230582,41.4588775971,37.9596019498,2.335,1.16427564729
 01/03  07:00:00,153.475958619,27.7795111579,0.0,0.0,13.9747600329,18.6919646116,484.409663304,479.719663304,4.67,0.02
 01/03  08:00:00,151.870500001,27.7795111579,0.0,0.0,13.9747600329,18.6919646116,441.581069699,436.891069699,4.67,0.02
 01/03  09:00:00,208.74971103,27.7795111579,0.0,0.0,34.9369000822,32.3179380704,399.124021938,389.786786089,8.1725,1.16473584895
 01/03  10:00:00,232.8529914,27.7795111579,0.0,0.0,62.886420148,41.4019203762,349.316795391,337.644456893,10.5075,1.16483849787
 01/03  11:00:00,223.080079505,27.7795111579,0.0,0.0,62.886420148,41.4019203762,333.974003611,322.301556869,10.5075,1.16494674157
 01/03  12:00:00,253.817870243,27.7795111579,0.0,0.0,62.886420148,41.4019203762,320.879741343,309.206828372,10.5075,1.1654129708
 01/03  13:00:00,233.624547927,27.7795111579,0.0,0.0,62.886420148,41.4019203762,315.668487496,302.849881082,10.5075,2.31110641406
 01/03  14:00:00,230.446480512,27.7795111579,0.0,0.0,62.886420148,41.4019203762,309.221215854,297.548108007,10.5075,1.16560784615
 01/03  15:00:00,226.591978283,27.7795111579,0.0,0.0,62.886420148,41.4019203762,303.146662473,291.47382153,10.5075,1.16534094241
 01/03  16:00:00,223.170235135,27.7795111579,0.0,0.0,62.886420148,41.4019203762,299.735055242,288.062435398,10.5075,1.16511984412
 01/03  17:00:00,233.332779412,27.7795111579,0.0,0.0,62.886420148,41.4019203762,307.497218981,294.679418548,10.5075,2.3103004327
 01/03  18:00:00,236.718906337,27.7795111579,0.0,0.0,62.886420148,41.4019203762,313.877247404,302.204535765,10.5075,1.16521163901
 01/03  19:00:00,236.069289913,27.7795111579,0.0,0.0,41.9242800987,36.8599292233,316.805056596,306.2999116,9.34,1.16514499626
 01/03  20:00:00,213.329091644,27.7795111579,0.0,0.0,41.9242800987,36.8599292233,321.147242988,310.6423655,9.34,1.16487748722
 01/03  21:00:00,188.858351549,27.7795111579,0.0,0.0,34.9369000822,32.3179380704,327.117892615,318.925392615,8.1725,0.02
 01/03  22:00:00,133.33141295,27.7795111579,0.0,0.0,13.9747600329,18.6919646116,303.988524189,298.153835743,4.67,1.16468844606
 01/03  23:00:00,79.4066812044,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49947078689,0.0,2.335,1.16447078689
 01/03  24:00:00,115.1583273,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/04  01:00:00,92.0873338191,8.13928755747,0.0,0.0,3.49369000822,9.08398230582,21.3199291086,18.9649291086,2.335,0.02
 01/04  02:00:00,90.1267851642,12.5395235138,0.0,0.0,3.49369000822,9.08398230582,39.138541476,35.6392493993,2.335,1.16429207666
 01/04  03:00:00,90.1802838832,12.5395235138,0.0,0.0,3.49369000822,9.08398230582,38.917558769,36.562558769,2.335,0.02
 01/04  04:00:00,90.6041018917,13.0776605782,0.0,0.0,3.49369000822,9.08398230582,32.1930930113,29.8380930113,2.335,0.02
 01/04  05:00:00,101.646049264,17.7665649186,0.0,0.0,3.49369000822,9.08398230582,46.5140117626,43.0147830637,2.335,1.16422869884
 01/04  06:00:00,99.3426678522,15.9140203911,0.0,0.0,3.49369000822,9.08398230582,57.3643933806,55.0093933806,2.335,0.02
 01/04  07:00:00,137.04556591,27.7795111579,0.0,0.0,13.9747600329,18.6919646116,502.435655441,497.745655441,4.67,0.02
 01/04  08:00:00,142.574007442,27.7795111579,0.0,0.0,13.9747600329,18.6919646116,459.180142096,453.345706865,4.67,1.16443523065
 01/04  09:00:00,208.577326076,27.7795111579,0.0,0.0,34.9369000822,32.3179380704,399.640522421,391.448022421,8.1725,0.02
 01/04  10:00:00,232.67651792,27.7795111579,0.0,0.0,62.886420148,41.4019203762,341.331726088,329.659451985,10.5075,1.16477410272
 01/04  11:00:00,222.911145215,27.7795111579,0.0,0.0,62.886420148,41.4019203762,313.012761922,301.340183676,10.5075,1.16507824665
 01/04  12:00:00,253.739828487,27.7795111579,0.0,0.0,62.886420148,41.4019203762,287.138320092,275.465273654,10.5075,1.16554643816
 01/04  13:00:00,233.481425578,27.7795111579,0.0,0.0,62.886420148,41.4019203762,276.965343113,264.146795089,10.5075,2.31104802415
 01/04  14:00:00,230.269278607,27.7795111579,0.0,0.0,62.886420148,41.4019203762,268.619639078,256.94671826,10.5075,1.16542081817
 01/04  15:00:00,226.438802064,27.7795111579,0.0,0.0,62.886420148,41.4019203762,265.238060525,253.565356277,10.5075,1.16520424843
 01/04  16:00:00,223.000757368,27.7795111579,0.0,0.0,62.886420148,41.4019203762,273.958300835,261.140450304,10.5075,2.3103505314
 01/04  17:00:00,233.173431508,27.7795111579,0.0,0.0,62.886420148,41.4019203762,297.29866752,285.625953461,10.5075,1.16521405915
 01/04  18:00:00,236.5373331,27.7795111579,0.0,0.0,62.886420148,41.4019203762,319.642335888,307.969742955,10.5075,1.16509293311
 01/04  19:00:00,235.949431876,27.7795111579,0.0,0.0,41.9242800987,36.8599292233,337.629950525,327.124901054,9.34,1.16504947115
 01/04  20:00:00,219.725415273,27.7795111579,0.0,0.0,41.9242800987,36.8599292233,352.277954741,341.773136368,9.34,1.16481837225
 01/04  21:00:00,194.795247494,27.7795111579,0.0,0.0,34.9369000822,32.3179380704,365.610166972,356.272792992,8.1725,1.16487397978
 01/04  22:00:00,137.933129228,27.7795111579,0.0,0.0,13.9747600329,18.6919646116,346.092303694,341.402303694,4.67,0.02
 01/04  23:00:00,79.1093130182,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49948502904,0.0,2.335,1.16448502904
 01/04  24:00:00,119.102042579,4.06964377874,0.0,0.0,3.49369000822,9.08398230582,15.6091404684,13.2541404684,2.335,0.02
 01/05  01:00:00,96.2032876536,12.5395235138,0.0,0.0,3.49369000822,9.08398230582,43.356363755,41.001363755,2.335,0.02
 01/05  02:00:00,90.1895551346,12.8353534502,0.0,0.0,3.49369000822,9.08398230582,35.9679673779,32.4686720351,2.335,1.16429534278
 01/05  03:00:00,94.8493974283,17.7665649186,0.0,0.0,3.49369000822,9.08398230582,49.5015221482,47.1465221482,2.335,0.02
 01/05  04:00:00,93.7870641696,16.7755880808,0.0,0.0,3.49369000822,9.08398230582,67.7568044795,65.4018044795,2.335,0.02
 01/05  05:00:00,96.5403194398,12.8353534502,0.0,0.0,3.49369000822,9.08398230582,51.2791965937,47.7799616208,2.335,1.16423497291
 01/05  06:00:00,100.736489518,17.7665649186,0.0,0.0,3.49369000822,9.08398230582,61.0236916466,58.6686916466,2.335,0.02
 01/05  07:00:00,136.68336509,27.7795111579,0.0,0.0,13.9747600329,18.6919646116,560.487237199,555.797237199,4.67,0.02
 01/05  08:00:00,142.352246167,27.7795111579,0.0,0.0,13.9747600329,18.6919646116,512.832811337,506.998348723,4.67,1.16446261406
 01/05  09:00:00,208.455735997,27.7795111579,0.0,0.0,34.9369000822,32.3179380704,455.514793019,447.322293019,8.1725,0.02
 01/05  10:00:00,232.519836673,27.7795111579,0.0,0.0,62.886420148,41.4019203762,400.502677143,388.830255334,10.5075,1.16492180871
 01/05  11:00:00,222.747529561,27.7795111579,0.0,0.0,62.886420148,41.4019203762,365.258555933,353.586063733,10.5075,1.16499219988
 01/05  12:00:00,253.670228101,27.7795111579,0.0,0.0,62.886420148,41.4019203762,335.1411055,322.322830156,10.5075,2.31077534398
 01/05  13:00:00,233.474609256,27.7795111579,0.0,0.0,62.886420148,41.4019203762,315.151598683,303.478555642,10.5075,1.1655430414
 01/05  14:00:00,230.13601029,27.7795111579,0.0,0.0,62.886420148,41.4019203762,299.130920974,287.457845429,10.5075,1.16557554474
 01/05  15:00:00,226.326117324,27.7795111579,0.0,0.0,62.886420148,41.4019203762,289.726702173,276.908582757,10.5075,2.31061941561
 01/05  16:00:00,222.920541839,27.7795111579,0.0,0.0,62.886420148,41.4019203762,289.452473543,277.77972479,10.5075,1.16524875303
 01/05  17:00:00,233.125136581,27.7795111579,0.0,0.0,62.886420148,41.4019203762,316.599271961,304.926656925,10.5075,1.16511503619
 01/05  18:00:00,236.486338243,27.7795111579,0.0,0.0,62.886420148,41.4019203762,346.994189289,335.321437038,10.5075,1.16525225172
 01/05  19:00:00,235.914759595,27.7795111579,0.0,0.0,41.9242800987,36.8599292233,373.340770121,362.835799775,9.34,1.16497034606
 01/05  20:00:00,219.689134969,27.7795111579,0.0,0.0,41.9242800987,36.8599292233,388.12236548,377.617386059,9.34,1.1649794208
 01/05  21:00:00,194.722825394,27.7795111579,0.0,0.0,34.9369000822,32.3179380704,398.326187196,388.988850514,8.1725,1.16483668178
 01/05  22:00:00,137.905517341,27.7795111579,0.0,0.0,13.9747600329,18.6919646116,376.027292948,371.337292948,4.67,0.02
 01/05  23:00:00,79.0023381387,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49949669651,0.0,2.335,1.16449669651
 01/05  24:00:00,123.323272114,8.30458364628,0.0,0.0,3.49369000822,9.08398230582,29.1563382347,26.8013382347,2.335,0.02
 01/06  01:00:00,94.0824557273,10.3822592565,0.0,0.0,3.49369000822,9.08398230582,36.6907069238,33.1914682448,2.335,1.16423867896
 01/06  02:00:00,94.888884795,17.6012688298,0.0,0.0,3.49369000822,9.08398230582,65.6812689906,63.3262689906,2.335,0.02
 01/06  03:00:00,94.3039423415,16.9049972289,0.0,0.0,3.49369000822,9.08398230582,70.4886947605,68.1336947605,2.335,0.02
 01/06  04:00:00,90.2235841327,12.8712403909,0.0,0.0,3.49369000822,9.08398230582,60.1815720373,56.6822857975,2.335,1.16428623975
 01/06  05:00:00,117.213135678,17.6012688298,0.0,0.0,3.49369000822,9.08398230582,88.6025334837,86.2475334837,2.335,0.02
 01/06  06:00:00,116.719729515,16.9049972289,0.0,0.0,3.49369000822,9.08398230582,80.4332743161,78.0782743161,2.335,0.02
 01/06  07:00:00,153.472967321,27.7795111579,0.0,0.0,13.9747600329,18.6919646116,542.938795096,538.248795096,4.67,0.02
 01/06  08:00:00,151.633295361,27.7795111579,0.0,0.0,13.9747600329,18.6919646116,502.318665382,496.484158712,4.67,1.16450666921
 01/06  09:00:00,208.632408253,27.7795111579,0.0,0.0,34.9369000822,32.3179380704,459.271506191,449.934290599,8.1725,1.1647155929
 01/06  10:00:00,232.711435498,27.7795111579,0.0,0.0,62.886420148,41.4019203762,418.030345467,407.502845467,10.5075,0.02
 01/06  11:00:00,222.915093957,27.7795111579,0.0,0.0,62.886420148,41.4019203762,393.619950613,381.947292475,10.5075,1.16515813739
 01/06  12:00:00,253.746539811,27.7795111579,0.0,0.0,62.886420148,41.4019203762,373.730400121,360.911789313,10.5075,2.31111080827
 01/06  13:00:00,233.605498522,27.7795111579,0.0,0.0,62.886420148,41.4019203762,359.065489143,347.392605851,10.5075,1.16538329167
 01/06  14:00:00,230.292047725,27.7795111579,0.0,0.0,62.886420148,41.4019203762,351.167432837,338.349040986,10.5075,2.31089185055
 01/06  15:00:00,226.445082138,27.7795111579,0.0,0.0,62.886420148,41.4019203762,344.402503123,332.729845906,10.5075,1.16515721759
 01/06  16:00:00,223.031923765,27.7795111579,0.0,0.0,62.886420148,41.4019203762,332.650351364,320.977682042,10.5075,1.16516932206
 01/06  17:00:00,233.219703181,27.7795111579,0.0,0.0,62.886420148,41.4019203762,335.647665956,323.974876016,10.5075,1.16528993923
 01/06  18:00:00,236.592904935,27.7795111579,0.0,0.0,62.886420148,41.4019203762,340.166841497,328.494175465,10.5075,1.16516603168
 01/06  19:00:00,235.987098143,27.7795111579,0.0,0.0,41.9242800987,36.8599292233,349.898242413,339.393095312,9.34,1.16514710085
 01/06  20:00:00,213.219376646,27.7795111579,0.0,0.0,41.9242800987,36.8599292233,357.677253451,347.172300285,9.34,1.16495316556
 01/06  21:00:00,188.721668354,27.7795111579,0.0,0.0,34.9369000822,32.3179380704,364.656893954,355.319578221,8.1725,1.16481573272
 01/06  22:00:00,133.269851089,27.7795111579,0.0,0.0,13.9747600329,18.6919646116,340.570418228,334.735704778,4.67,1.16471344997
 01/06  23:00:00,79.2331098997,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/06  24:00:00,119.156558763,4.06964377874,0.0,0.0,3.49369000822,9.08398230582,12.3904444036,10.0354444036,2.335,0.02
 01/07  01:00:00,94.043139689,12.4293261213,0.0,0.0,3.49369000822,6.81298672936,34.5465952669,31.6308992973,1.75125,1.16444596966
 01/07  02:00:00,84.8313200237,9.46085657286,0.0,0.0,3.49369000822,6.81298672936,28.4014882823,26.6302382823,1.75125,0.02
 01/07  03:00:00,91.9139554236,16.6985770417,0.0,0.0,3.49369000822,6.81298672936,47.8218765592,44.9062536178,1.75125,1.16437294143
 01/07  04:00:00,92.0391320762,16.7755880808,0.0,0.0,3.49369000822,6.81298672936,41.9723750923,40.2011250923,1.75125,0.02
 01/07  05:00:00,94.8252021057,12.8353534502,0.0,0.0,3.49369000822,6.81298672936,38.7263490544,36.9550990544,1.75125,0.02
 01/07  06:00:00,99.0464595811,17.7665649186,0.0,0.0,3.49369000822,6.81298672936,42.7731566062,39.8575770713,1.75125,1.16432953494
 01/07  07:00:00,122.825736798,27.7795111579,0.0,0.0,6.98738001645,14.1499734587,493.222808017,489.700308017,3.5025,0.02
 01/07  08:00:00,128.637312278,27.7795111579,0.0,0.0,6.98738001645,14.1499734587,440.573527085,435.906430542,3.5025,1.16459654337
 01/07  09:00:00,181.288079407,27.7795111579,0.0,0.0,20.9621400493,23.2339557645,402.581215228,396.723715228,5.8375,0.02
 01/07  10:00:00,198.564644339,27.7795111579,0.0,0.0,41.9242800987,36.8599292233,364.995927125,354.491165714,9.34,1.16476141132
 01/07  11:00:00,223.319497906,27.7795111579,0.0,0.0,62.886420148,41.4019203762,332.191001555,320.518372281,10.5075,1.16512927393
 01/07  12:00:00,253.984992775,27.7795111579,0.0,0.0,62.886420148,41.4019203762,305.615667328,293.942954426,10.5075,1.16521290136
 01/07  13:00:00,234.455364715,27.7795111579,0.0,0.0,62.886420148,41.4019203762,295.837990477,283.019302304,10.5075,2.31118817306
 01/07  14:00:00,231.267437808,27.7795111579,0.0,0.0,62.886420148,41.4019203762,289.753011359,278.080170636,10.5075,1.16534072349
 01/07  15:00:00,227.365148553,27.7795111579,0.0,0.0,62.886420148,41.4019203762,284.592514704,272.919901596,10.5075,1.16511310757
 01/07  16:00:00,224.497388646,27.7795111579,0.0,0.0,62.886420148,41.4019203762,277.685497888,264.867623022,10.5075,2.31037486603
 01/07  17:00:00,234.980455433,27.7795111579,0.0,0.0,62.886420148,41.4019203762,276.761407616,265.088677345,10.5075,1.16523027097
 01/07  18:00:00,238.297148371,27.7795111579,0.0,0.0,62.886420148,41.4019203762,280.427017211,268.754457679,10.5075,1.16505953258
 01/07  19:00:00,223.465629938,27.7795111579,0.0,0.0,34.9369000822,32.3179380704,302.038030045,292.700429845,8.1725,1.16510020012
 01/07  20:00:00,178.871423551,27.7795111579,0.0,0.0,20.9621400493,23.2339557645,317.576189093,310.573782,5.8375,1.16490709342
 01/07  21:00:00,169.041829451,27.7795111579,0.0,0.0,20.9621400493,23.2339557645,321.721184548,314.718898945,5.8375,1.1647856036
 01/07  22:00:00,126.128391476,27.7795111579,0.0,0.0,6.98738001645,14.1499734587,295.022661427,291.500161427,3.5025,0.02
 01/07  23:00:00,80.8343750897,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91579854418,0.0,1.75125,1.16454854418
 01/07  24:00:00,116.42994632,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/08  01:00:00,88.6993191668,4.06964377874,0.0,0.0,3.49369000822,6.81298672936,12.3024374086,9.38689540412,1.75125,1.1642920045
 01/08  02:00:00,89.5608441288,12.374227425,0.0,0.0,3.49369000822,6.81298672936,31.4115921041,29.6403421041,1.75125,0.02
 01/08  03:00:00,84.7572591757,8.6351758239,0.0,0.0,3.49369000822,6.81298672936,27.5564586182,25.7852086182,1.75125,0.02
 01/08  04:00:00,91.3706945238,15.7883692466,0.0,0.0,3.49369000822,6.81298672936,52.5407507321,49.6251657223,1.75125,1.16433500982
 01/08  05:00:00,99.9291276093,17.7665649186,0.0,0.0,3.49369000822,6.81298672936,56.641589721,54.870339721,1.75125,0.02
 01/08  06:00:00,94.4700044164,12.8353534502,0.0,0.0,3.49369000822,6.81298672936,46.0540724528,44.2828224528,1.75125,0.02
 01/08  07:00:00,122.721894643,27.7795111579,0.0,0.0,6.98738001645,14.1499734587,557.96490253,553.298095208,3.5025,1.16430732202
 01/08  08:00:00,128.520760184,27.7795111579,0.0,0.0,6.98738001645,14.1499734587,495.100623731,491.578123731,3.5025,0.02
 01/08  09:00:00,153.773424678,27.7795111579,0.0,0.0,6.98738001645,14.1499734587,426.192757528,421.525798747,3.5025,1.16445878105
 01/08  10:00:00,126.352199994,27.7795111579,0.0,0.0,6.98738001645,14.1499734587,400.713969672,397.191469672,3.5025,0.02
 01/08  11:00:00,161.294867174,27.7795111579,0.0,0.0,27.9495200658,27.7759469175,371.705187207,363.535313352,7.005,1.16487385487
 01/08  12:00:00,192.424080934,27.7795111579,0.0,0.0,27.9495200658,27.7759469175,354.97147013,346.801535918,7.005,1.16493421191
 01/08  13:00:00,199.710104576,27.7795111579,0.0,0.0,41.9242800987,36.8599292233,326.642459707,316.137498731,9.34,1.164960976
 01/08  14:00:00,197.815031237,27.7795111579,0.0,0.0,41.9242800987,36.8599292233,323.131616958,312.626727245,9.34,1.16488971228
 01/08  15:00:00,193.775846882,27.7795111579,0.0,0.0,41.9242800987,36.8599292233,319.588953688,310.228953688,9.34,0.02
 01/08  16:00:00,190.190307743,27.7795111579,0.0,0.0,41.9242800987,36.8599292233,316.113428578,305.608456629,9.34,1.16497194983
 01/08  17:00:00,200.431886751,27.7795111579,0.0,0.0,41.9242800987,36.8599292233,316.777568639,306.272637755,9.34,1.164930884
 01/08  18:00:00,175.412945434,27.7795111579,0.0,0.0,27.9495200658,27.7759469175,368.827621444,360.657611724,7.005,1.16500972009
 01/08  19:00:00,181.368035611,27.7795111579,0.0,0.0,13.9747600329,18.6919646116,386.95077253,381.116127486,4.67,1.16464504338
 01/08  20:00:00,161.403995567,27.7795111579,0.0,0.0,13.9747600329,18.6919646116,390.088784856,384.254004653,4.67,1.16478020291
 01/08  21:00:00,152.713887437,27.7795111579,0.0,0.0,13.9747600329,18.6919646116,390.168411069,385.478411069,4.67,0.02
 01/08  22:00:00,138.393927628,27.7795111579,0.0,0.0,13.9747600329,18.6919646116,346.612346644,340.777875183,4.67,1.16447146103
 01/08  23:00:00,79.0060093479,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/08  24:00:00,114.884193939,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91555043442,0.0,1.75125,1.16430043442
 01/09  01:00:00,93.3966879606,8.13928755747,0.0,0.0,3.49369000822,9.08398230582,20.4690903915,18.1140903915,2.335,0.02
 01/09  02:00:00,90.9222946996,12.4844248176,0.0,0.0,3.49369000822,9.08398230582,35.1888866077,32.8338866077,2.335,0.02
 01/09  03:00:00,90.6612672637,12.5395235138,0.0,0.0,3.49369000822,9.08398230582,35.7217042457,33.3667042457,2.335,0.02
 01/09  04:00:00,87.8470487694,9.7839327435,0.0,0.0,3.49369000822,9.08398230582,28.733370267,25.2340879988,2.335,1.16428226822
 01/09  05:00:00,100.021138922,15.5049380202,0.0,0.0,3.49369000822,9.08398230582,45.5211454024,43.1661454024,2.335,0.02
 01/09  06:00:00,100.293741212,16.0755584765,0.0,0.0,3.49369000822,9.08398230582,44.8083172404,42.4533172404,2.335,0.02
 01/09  07:00:00,137.358356343,27.7795111579,0.0,0.0,13.9747600329,18.6919646116,452.825355214,446.99108766,4.67,1.16426755326
 01/09  08:00:00,143.051654835,27.7795111579,0.0,0.0,13.9747600329,18.6919646116,409.46716915,404.77716915,4.67,0.02
 01/09  09:00:00,208.864121983,27.7795111579,0.0,0.0,34.9369000822,32.3179380704,365.576574348,356.239428792,8.1725,1.16464555668
